Date,Price
4/30/2015,26930
5/1/2015,26470
5/2/2015,26355
5/3/2015,26228
5/4/2015,25863
5/5/2015,25646
5/6/2015,25791
5/7/2015,25538
5/8/2015,25699
5/9/2015,25604
5/10/2015,25490
5/11/2015,25341
5/12/2015,25388
5/13/2015,25360
5/14/2015,25038
5/15/2015,25108
5/16/2015,25308
5/17/2015,25252
5/18/2015,25180
5/19/2015,25305
5/20/2015,25230
5/21/2015,25288
5/22/2015,25071
5/23/2015,25114
5/24/2015,25018
5/25/2015,24895
5/26/2015,25043
5/27/2015,25631
5/28/2015,25443
5/29/2015,25424
5/30/2015,25499
5/31/2015,25328
6/1/2015,25581
6/2/2015,25256
6/3/2015,25173
6/4/2015,25372
6/5/2015,24766
6/6/2015,25011
6/7/2015,25302
6/8/2015,25176
6/9/2015,25004
6/10/2015,25147
6/11/2015,25077
6/12/2015,25106
6/13/2015,25017
6/14/2015,24952
6/15/2015,24943
6/16/2015,25423
6/17/2015,25430
6/18/2015,25756
6/19/2015,26106
6/20/2015,25989
6/21/2015,25877
6/22/2015,25689
6/23/2015,25750
6/24/2015,25652
6/25/2015,26126
6/26/2015,26070
6/27/2015,26064
6/28/2015,26563
6/29/2015,26190
6/30/2015,26168
7/1/2015,26391
7/2/2015,26736
7/3/2015,26701
7/4/2015,26709
7/5/2015,26973
7/6/2015,27008
7/7/2015,27285
7/8/2015,27656
7/9/2015,27568
7/10/2015,28367
7/11/2015,28325
7/12/2015,28211
7/13/2015,29706
7/14/2015,29287
7/15/2015,28595
7/16/2015,28800
7/17/2015,28781
7/18/2015,29210
7/19/2015,29432
7/20/2015,28916
7/21/2015,29234
7/22/2015,29523
7/23/2015,29735
7/24/2015,29290
7/25/2015,29437
7/26/2015,29097
7/27/2015,29219
7/28/2015,29381
7/29/2015,29519
7/30/2015,29597
7/31/2015,29819
8/1/2015,29597
8/2/2015,29928
8/3/2015,29504
8/4/2015,29204
8/5/2015,29050
8/6/2015,28970
8/7/2015,29357
8/8/2015,29135
8/9/2015,28937
8/10/2015,29047
8/11/2015,28568
8/12/2015,28560
8/13/2015,28400
8/14/2015,28616
8/15/2015,28301
8/16/2015,28441
8/17/2015,28056
8/18/2015,28086
8/19/2015,28562
8/20/2015,28571
8/21/2015,28972
8/22/2015,29047
8/23/2015,29254
8/24/2015,29250
8/25/2015,29128
8/26/2015,28731
8/27/2015,28918
8/28/2015,28935
8/29/2015,29255
8/30/2015,29249
8/31/2015,29287
9/1/2015,28941
9/2/2015,29183
9/3/2015,29158
9/4/2015,29319
9/5/2015,29627
9/6/2015,30138
9/7/2015,30213
9/8/2015,30154
9/9/2015,29934
9/10/2015,29868
9/11/2015,30366
9/12/2015,29805
9/13/2015,29785
9/14/2015,29933
9/15/2015,29904
9/16/2015,30023
9/17/2015,29963
9/18/2015,30045
9/19/2015,30049
9/20/2015,29800
9/21/2015,29693
9/22/2015,29682
9/23/2015,29306
9/24/2015,28945
9/25/2015,28729
9/26/2015,28590
9/27/2015,28590
9/28/2015,28610
9/29/2015,28626
9/30/2015,28554
10/1/2015,29216
10/2/2015,29329
10/3/2015,29239
10/4/2015,29491
10/5/2015,29757
10/6/2015,29851
10/7/2015,30181
10/8/2015,30357
10/9/2015,30262
10/10/2015,30392
10/11/2015,30373
10/12/2015,30478
10/13/2015,30072
10/14/2015,29898
10/15/2015,29686
10/16/2015,31131
10/17/2015,31218
10/18/2015,30999
10/19/2015,30986
10/20/2015,30851
10/21/2015,31077
10/22/2015,31396
10/23/2015,30841
10/24/2015,32018
10/25/2015,31817
10/26/2015,31657
10/27/2015,31524
10/28/2015,31001
10/29/2015,31225
10/30/2015,30895
10/31/2015,30922
11/1/2015,30950
11/2/2015,31021
11/3/2015,30666
11/4/2015,30940
11/5/2015,30794
11/6/2015,30814
11/7/2015,30822
11/8/2015,30878
11/9/2015,30795
11/10/2015,31099
11/11/2015,31011
11/12/2015,31282
11/13/2015,31199
11/14/2015,31317
11/15/2015,30779
11/16/2015,30998
11/17/2015,31133
11/18/2015,31219
11/19/2015,31171
11/20/2015,31080
11/21/2015,31349
11/22/2015,31314
11/23/2015,31411
11/24/2015,31365
11/25/2015,31395
11/26/2015,31373
11/27/2015,31049
11/28/2015,30945
11/29/2015,31023
11/30/2015,31077
12/1/2015,30840
12/2/2015,30746
12/3/2015,30710
12/4/2015,30900
12/5/2015,31025
12/6/2015,31401
12/7/2015,31336
12/8/2015,31239
12/9/2015,31261
12/10/2015,31087
12/11/2015,31141
12/12/2015,31100
12/13/2015,30950
12/14/2015,30851
12/15/2015,30936
12/16/2015,30892
12/17/2015,31207
12/18/2015,31335
12/19/2015,31288
12/20/2015,31351
12/21/2015,31003
12/22/2015,30963
12/23/2015,31224
12/24/2015,30814
12/25/2015,30749
12/26/2015,30068
12/27/2015,30004
12/28/2015,29615
12/29/2015,29591
12/30/2015,29662
12/31/2015,29712
1/1/2016,29662
1/2/2016,29697
1/3/2016,29638
1/4/2016,29675
1/5/2016,29773
1/6/2016,29883
1/7/2016,29891
1/8/2016,29936
1/9/2016,29820
1/10/2016,30034
1/11/2016,29913
1/12/2016,30054
1/13/2016,30131
1/14/2016,30151
1/15/2016,30057
1/16/2016,30329
1/17/2016,30759
1/18/2016,30674
1/19/2016,30689
1/20/2016,30118
1/21/2016,29899
1/22/2016,29961
1/23/2016,29986
1/24/2016,29461
1/25/2016,29676
1/26/2016,29391
1/27/2016,29463
1/28/2016,29185
1/29/2016,29005
1/30/2016,29197
1/31/2016,29182
2/1/2016,28885
2/2/2016,28816
2/3/2016,28671
2/4/2016,28793
2/5/2016,28853
2/6/2016,28428
2/7/2016,28062
2/8/2016,28445
2/9/2016,28236
2/10/2016,27944
2/11/2016,28043
2/12/2016,27896
2/13/2016,27701
2/14/2016,27843
2/15/2016,27710
2/16/2016,27746
2/17/2016,27130
2/18/2016,27308
2/19/2016,27392
2/20/2016,27262
2/21/2016,27103
2/22/2016,27152
2/23/2016,27186
2/24/2016,27241
2/25/2016,27431
2/26/2016,27539
2/27/2016,27810
2/28/2016,27700
2/29/2016,27828
3/1/2016,28102
3/2/2016,28085
3/3/2016,28890
3/4/2016,27960
3/5/2016,28124
3/6/2016,28210
3/7/2016,28353
3/8/2016,28463
3/9/2016,28440
3/10/2016,28601
3/11/2016,28797
3/12/2016,28852
3/13/2016,28588
3/14/2016,28685
3/15/2016,28876
3/16/2016,28815
3/17/2016,28472
3/18/2016,28449
3/19/2016,28642
3/20/2016,29172
3/21/2016,28981
3/22/2016,29064
3/23/2016,29166
3/24/2016,29202
3/25/2016,29348
3/26/2016,29371
3/27/2016,29115
3/28/2016,29195
3/29/2016,29057
3/30/2016,29027
3/31/2016,29138
4/1/2016,29377
4/2/2016,29359
4/3/2016,29324
4/4/2016,29314
4/5/2016,29223
4/6/2016,29440
4/7/2016,29613
4/8/2016,29732
4/9/2016,29592
4/10/2016,29529
4/11/2016,29204
4/12/2016,29442
4/13/2016,28979
4/14/2016,28791
4/15/2016,28660
4/16/2016,28491
4/17/2016,28417
4/18/2016,28291
4/19/2016,28100
4/20/2016,28019
4/21/2016,28436
4/22/2016,28528
4/23/2016,28518
4/24/2016,28853
4/25/2016,28886
4/26/2016,28816
4/27/2016,28809
4/28/2016,28839
4/29/2016,28872
4/30/2016,28762
5/1/2016,28559
5/2/2016,28612
5/3/2016,28720
5/4/2016,28960
5/5/2016,28617
5/6/2016,28697
5/7/2016,28650
5/8/2016,28699
5/9/2016,29149
5/10/2016,29189
5/11/2016,29358
5/12/2016,29392
5/13/2016,29518
5/14/2016,29313
5/15/2016,29308
5/16/2016,29432
5/17/2016,29128
5/18/2016,28827
5/19/2016,28757
5/20/2016,28784
5/21/2016,28872
5/22/2016,28654
5/23/2016,28571
5/24/2016,28571
5/25/2016,28060
5/26/2016,28184
5/27/2016,28119
5/28/2016,27981
5/29/2016,28007
5/30/2016,28022
5/31/2016,28019
6/1/2016,28008
6/2/2016,28109
6/3/2016,28614
6/4/2016,28710
6/5/2016,28634
6/6/2016,28783
6/7/2016,28808
6/8/2016,28719
6/9/2016,28638
6/10/2016,28847
6/11/2016,28874
6/12/2016,28704
6/13/2016,28905
6/14/2016,28749
6/15/2016,28949
6/16/2016,29111
6/17/2016,29481
6/18/2016,29376
6/19/2016,29049
6/20/2016,28938
6/21/2016,28917
6/22/2016,28862
6/23/2016,28946
6/24/2016,28686
6/25/2016,28616
6/26/2016,28473
6/27/2016,28475
6/28/2016,28495
6/29/2016,28557
6/30/2016,28648
7/1/2016,28426
7/2/2016,28483
7/3/2016,28485
7/4/2016,28527
7/5/2016,28295
7/6/2016,27952
7/7/2016,28043
7/8/2016,28051
7/9/2016,28143
7/10/2016,27812
7/11/2016,27840
7/12/2016,27871
7/13/2016,27889
7/14/2016,27868
7/15/2016,28022
7/16/2016,28147
7/17/2016,28280
7/18/2016,28270
7/19/2016,28345
7/20/2016,28541
7/21/2016,28530
7/22/2016,28490
7/23/2016,28396
7/24/2016,28477
7/25/2016,28596
7/26/2016,28588
7/27/2016,28514
7/28/2016,28486
7/29/2016,28447
7/30/2016,28373
7/31/2016,28419
